antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Tag:deployment'}),frozenset({'Tag:rollback'}),0.0550098231827112,0.0550098231827112,0.0550098231827112,1.0,18.178571428571427,1.0,0.05198374253611805,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:rollback'}),frozenset({'Tag:deployment'}),0.0550098231827112,0.0550098231827112,0.0550098231827112,1.0,18.178571428571427,1.0,0.05198374253611805,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:outage'}),frozenset({'Tag:partial'}),0.0550098231827112,0.0550098231827112,0.0550098231827112,1.0,18.178571428571427,1.0,0.05198374253611805,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:partial'}),frozenset({'Tag:outage'}),0.0550098231827112,0.0550098231827112,0.0550098231827112,1.0,18.178571428571427,1.0,0.05198374253611805,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:degraded'}),frozenset({'Tag:service'}),0.06286836935166994,0.06286836935166994,0.06286836935166994,1.0,15.906250000000002,1.0,0.05891593748673195,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Tag:service'}),frozenset({'Tag:degraded'}),0.06286836935166994,0.06286836935166994,0.06286836935166994,1.0,15.906250000000002,1.0,0.05891593748673195,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Tag:networking'}),frozenset({'Tag:infrastructure'}),0.06483300589390963,0.06483300589390963,0.06483300589390963,1.0,15.424242424242424,1.0,0.0606296872406699,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Tag:infrastructure'}),frozenset({'Tag:networking'}),0.06483300589390963,0.06483300589390963,0.06483300589390963,1.0,15.424242424242424,1.0,0.0606296872406699,inf,0.9999999999999999,1.0,1.0,1.0
frozenset({'Tag:security'}),frozenset({'Tag:critical'}),0.068762278978389,0.068762278978389,0.068762278978389,1.0,14.542857142857141,1.0,0.0640340279680872,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:critical'}),frozenset({'Tag:security'}),0.068762278978389,0.068762278978389,0.068762278978389,1.0,14.542857142857141,1.0,0.0640340279680872,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:major'}),frozenset({'Tag:incident'}),0.068762278978389,0.068762278978389,0.068762278978389,1.0,14.542857142857141,1.0,0.0640340279680872,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:incident'}),frozenset({'Tag:major'}),0.068762278978389,0.068762278978389,0.068762278978389,1.0,14.542857142857141,1.0,0.0640340279680872,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:internal'}),frozenset({'Tag:low-impact'}),0.07072691552062868,0.07072691552062868,0.07072691552062868,1.0,14.13888888888889,1.0,0.06572461894156653,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:low-impact'}),frozenset({'Tag:internal'}),0.07072691552062868,0.07072691552062868,0.07072691552062868,1.0,14.13888888888889,1.0,0.06572461894156653,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:backend'}),frozenset({'Tag:database'}),0.07662082514734773,0.07662082514734773,0.07662082514734773,1.0,13.051282051282053,1.0,0.0707500743010873,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:database'}),frozenset({'Tag:backend'}),0.07662082514734773,0.07662082514734773,0.07662082514734773,1.0,13.051282051282053,1.0,0.0707500743010873,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:frontend'}),frozenset({'Tag:bug'}),0.07269155206286837,0.07662082514734773,0.07269155206286837,1.0,13.051282051282053,1.0,0.06712186536257,inf,0.9957627118644067,0.9487179487179487,1.0,0.9743589743589745
frozenset({'Tag:monitoring'}),frozenset({'Tag:alert'}),0.07858546168958742,0.07858546168958742,0.07858546168958742,1.0,12.725,1.0,0.07240978690062182,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Tag:alert'}),frozenset({'Tag:monitoring'}),0.07858546168958742,0.07858546168958742,0.07858546168958742,1.0,12.725,1.0,0.07240978690062182,inf,1.0000000000000002,1.0,1.0,1.0
frozenset({'Tag:maintenance'}),frozenset({'Tag:scheduled'}),0.0825147347740668,0.0825147347740668,0.0825147347740668,1.0,12.119047619047619,1.0,0.07570605331923222,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:scheduled'}),frozenset({'Tag:maintenance'}),0.0825147347740668,0.0825147347740668,0.0825147347740668,1.0,12.119047619047619,1.0,0.07570605331923222,inf,1.0,1.0,1.0,1.0
frozenset({'Tag:customer-facing'}),frozenset({'Tag:urgent'}),0.08447937131630648,0.08644400785854617,0.08447937131630648,1.0,11.568181818181818,1.0,0.07717663587835465,inf,0.997854077253219,0.9772727272727272,1.0,0.9886363636363635
